No,Plot,Subplot,Species,Light_ISF,Light_Cat,Core,Soil,Adult,Sterile,Conspecific,Myco,SoilMyco,PlantDate,AMF,EMF,Phenolics,Lignin,NSC,Census,Time,Event,Harvest,Alive
3492,9,C,Prunus serotina,0.077,Med,2017,Prunus serotina,1027,Non-Sterile,Conspecific,AMF,AMF,6/7/18,48.57,,0.53,5.18,7.13,11,38.5,1,,
3493,9,A,Prunus serotina,0.065,Low,2017,Quercus alba,1205,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,25.23,,0.61,7.37,11.29,11,38.5,1,,
3498,9,A,Prunus serotina,0.065,Low,2016,Populus grandidentata,891,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,33.09,,0.53,5.38,6.81,11,38.5,1,,
3503,9,C,Prunus serotina,0.077,Med,2017,Quercus rubra,970,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,32.39,,0.73,7.75,11.34,11,38.5,1,,
3518,9,A,Prunus serotina,0.065,Low,2017,Acer saccharum,1757,Non-Sterile,Heterospecific,AMF,AMF,6/7/18,32.22,,0.7,6.81,10.95,11,38.5,1,,
3543,9,C,Acer saccharum,0.077,Med,2017,Prunus serotina,I,Non-Sterile,Heterospecific,AMF,AMF,6/8/18,19.64,,-0.63,14.05,12.01,11,38.5,1,,
3595,9,C,Prunus serotina,0.077,Med,2016,Acer saccharum,961,Non-Sterile,Heterospecific,AMF,AMF,6/7/18,47.55,,0.61,5.31,7.89,11,38.5,1,,
3612,9,C,Prunus serotina,0.077,Med,2016,Populus grandidentata,285,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,57.81,,0.58,5.41,6.68,11,38.5,1,,
3613,9,C,Prunus serotina,0.077,Med,2017,Prunus serotina,G,Non-Sterile,Conspecific,AMF,AMF,6/7/18,48.57,,0.53,5.18,7.13,11,38.5,1,,
3618,9,C,Prunus serotina,0.077,Med,2017,Quercus alba,1715,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,23.12,,0.64,5.16,7.99,11,38.5,1,,
