No,Plot,Subplot,Species,Light_ISF,Light_Cat,Core,Soil,Adult,Sterile,Conspecific,Myco,SoilMyco,PlantDate,AMF,EMF,Phenolics,Lignin,NSC,Census,Time,Event,Harvest,Alive
4137,10,D,Acer saccharum,0.06,Low,2016,Sterile,961,Sterile,Sterilized,AMF,Sterile,5/17/18,5.7,,-0.27,9,9.03,19,66.5,1,,
4140,10,D,Quercus alba,0.06,Low,2017,Acer rubrum,1468,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,13.12,29.89,4.37,18.71,23.35,33,115.5,0,,1
4142,10,B,Prunus serotina,0.072,Low,2017,Prunus serotina,1027,Non-Sterile,Conspecific,AMF,AMF,6/8/18,36.12,,0.42,5.29,7.32,33,115.5,0,,1
6720,16,B,Acer saccharum,0.105,Med,2017,Prunus serotina,689,Non-Sterile,Heterospecific,AMF,AMF,6/8/18,21,,-0.52,12.34,11.75,8,28,0,1,
6841,16,B,Prunus serotina,0.105,Med,2017,Quercus rubra,1595,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,25,,0.68,11.08,14.17,8,28,0,1,
6847,16,B,Prunus serotina,0.105,Med,2016,Acer saccharum,1323,Non-Sterile,Heterospecific,AMF,AMF,6/7/18,22,,0.79,10.57,14.78,8,28,0,1,
6880,16,B,Prunus serotina,0.105,Med,2017,Prunus serotina,J,Non-Sterile,Conspecific,AMF,AMF,6/7/18,63,,0.46,5.16,8.64,8,28,0,1,
6884,16,B,Prunus serotina,0.105,Med,2016,Acer saccharum,561,Non-Sterile,Heterospecific,AMF,AMF,6/7/18,77,,0.85,4.54,8.38,8,28,0,1,
4164,10,B,Acer saccharum,0.072,Low,2016,Quercus alba,1320,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,15.03,,0.03,13.72,12.34,17,59.5,1,,
6949,17,A,Quercus alba,0.095,Med,2016,Acer saccharum,1323,Non-Sterile,Heterospecific,EMF,AMF,5/22/18,21.77,31.08,5.05,18.84,22.51,8,28,1,,
7182,17,D,Prunus serotina,0.118,Med,2017,Quercus rubra,970,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,65,,1.28,8.91,11.89,8,28,0,1,
7294,17,B,Prunus serotina,0.111,Med,2016,Quercus alba,415,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,63,,0.9,5.95,10.29,8,28,0,1,
7310,17,B,Quercus alba,0.111,Med,2017,Acer saccharum,1330,Non-Sterile,Heterospecific,EMF,AMF,5/22/18,23.12,22.48,5.11,18.4,22.88,8,28,1,,
4179,10,B,Quercus rubra,0.072,Low,2017,Prunus serotina,I,Non-Sterile,Heterospecific,EMF,AMF,6/15/18,18.25,12.85,2.57,24.22,11.95,33,115.5,0,,1
4180,10,B,Acer saccharum,0.072,Low,2017,Acer rubrum,1384,Non-Sterile,Heterospecific,AMF,AMF,6/4/18,18.01,,-0.18,10.37,10.95,17,59.5,1,,
7345,18,A,Prunus serotina,0.141,High,2017,Quercus rubra,1454,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,6,,1.29,5.66,10.68,8,28,0,1,
7430,18,C,Prunus serotina,0.14,High,2016,Acer saccharum,961,Non-Sterile,Heterospecific,AMF,AMF,6/7/18,83,,1.15,9.47,12.18,8,28,0,1,
